#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1197,Kutter Crawford,676710,676710,20531,11283,*04ep8*,BOS,SP,SP,Crawford,Kutter,Crawford,Kutter
1198,Brandon Hughes,676714,676714,23460,11471,*04eon*,ARI,RP,RP,Hughes,Brandon,Hughes,Brandon
1199,Tommy Romero,676720,676720,23465,11316,*04eoc*,SF,SP,SP,Romero,Tommy,Romero,Tommy
1200,Mason Martin,676733,676733,sa3004885,10907,,LAA,1B,1B,Martin,Mason,Martin,Mason
1201,Isaac Mattson,676755,676755,20385,10604,,PIT,RP,RP,Mattson,Isaac,Mattson,Isaac
1202,Korry Howell,676759,676759,sa3008238,10407,*04era*,SD,OF,OF,Howell,Korry,Howell,Korry
1203,Ron Marinaccio,676760,676760,23488,11392,*04erc*,CHW,RP,RP,Marinaccio,Ron,Marinaccio,Ron
1204,Nick Snyder,676766,676766,23493,11264,*04ern*,PHI,RP,RP,Snyder,Nick,Snyder,Nick
1205,Keaton Winn,676775,676775,23499,11680,*04esc*,SF,SP,SP,Winn,Keaton,Winn,Keaton
1206,Chas McCormick,676801,676801,19599,10007,*04esz*,HOU,OF,OF,McCormick,Chas,McCormick,Chas
1207,Kodi Whitley,676831,676831,19731,10723,*059zn*,ATL,RP,RP,Whitley,Kodi,Whitley,Kodi
1208,Matt Peacock,676840,676840,20339,11153,*04euc*,TOR,RP,RP,Peacock,Matt,Peacock,Matt
1209,Aaron Ashby,676879,676879,23550,10372,*04ew7*,MIL,SP,SP,Ashby,Aaron,Ashby,Aaron
1210,Chandler Seagle,676882,676882,23552,11882,,SD,C,C,Seagle,Chandler,Seagle,Chandler
1211,Davis Schneider,676914,676914,23565,11838,*04o2x*,TOR,2B/OF,2B/OF,Schneider,Davis,Schneider,Davis
1212,Cade Cavalli,676917,676917,27473,10971,*05gef*,WSH,SP,SP,Cavalli,Cade,Cavalli,Cade
1213,Matthew Batten,676946,676946,20157,10595,*052im*,SD,2B,1B/2B/ 3B,Batten,Matthew,Batten,Matthew
1214,Ben Brown,676962,676962,23590,11935,*04o2w*,CHC,SP,SP,Brown,Ben,Brown,Ben
1215,Brett de Geus,676969,676969,23592,11072,*0524m*,TOR,RP,RP,de Geus,Brett,de Geus,Brett
1216,Max Meyer,676974,676974,27474,10832,*05a2d*,MIA,SP,SP,Meyer,Max,Meyer,Max
1217,Garrett Crochet,676979,676979,27463,10900,*05ajh*,CHW,SP,SP,Crochet,Garrett,Crochet,Garrett
1218,Heston Kjerstad,677008,677008,31166,11771,*0596f*,BAL,OF,OF,Kjerstad,Heston,Kjerstad,Heston
1219,Josh Walker,677020,677020,23617,11793,*05u2x*,PIT,RP,RP,Walker,Josh,Walker,Josh
1220,Andrew Nardi,677053,677053,25942,11536,*051c3*,MIA,RP,RP,Nardi,Andrew,Nardi,Andrew
1221,Clayton Andrews,677076,677076,23631,10988,*04pzw*,SF,RP,RP,Andrews,Clayton,Andrews,Clayton
1222,Zack Kelly,677161,677161,20349,11551,*05r1z*,BOS,RP,RP,Kelly,Zack,Kelly,Zack
1223,Kyren Paris,677347,677347,26420,11090,*050s0*,LAA,2B/SS,2B/SS,Paris,Kyren,Paris,Kyren
1224,Wander Franco,677551,677551,23667,10360,*04csx*,TB,SS,SS,Franco,Wander,Franco,Wander
1225,Kristian Robinson,677565,677565,sa3006884,10267,*04g7l*,ARI,OF,OF,Robinson,Kristian,Robinson,Kristian
1226,Aaron Bracho,677570,677570,sa3010018,10117,*04l97*,CLE,2B,2B,Bracho,Aaron,Bracho,Aaron
1227,Brayan Rocchio,677587,677587,23690,10379,*04si3*,CLE,SS,SS/3B,Rocchio,Brayan,Rocchio,Brayan
1228,Jose Tena,677588,677588,23691,11383,*04sxv*,WSH,SS/3B,SS/3B,Tena,Jose,Tena,José
1229,Everson Pereira,677592,677592,23695,10197,*04is5*,NYY,OF,OF,Pereira,Everson,Pereira,Everson
1230,Julio Rodriguez,677594,677594,23697,10260,*04fhb*,SEA,OF,OF,Rodriguez,Julio,Rodríguez,Julio
1231,Ronny Mauricio,677595,677595,23698,10318,*04fyo*,NYM,2B,2B/3B,Mauricio,Ronny,Mauricio,Ronny
1232,Miguel Hiraldo,677599,677599,sa3005486,10291,*04l80*,TOR,SS,SS,Hiraldo,Miguel,Hiraldo,Miguel
1233,D’Shawn Knowles,677610,677610,sa3006889,10387,*04n0j*,LAA,OF,OF,Knowles,D’Shawn,Knowles,D’Shawn
1234,Eddy Diaz,677647,677647,sa3004979,10391,*04mtj*,COL,SS,SS,Diaz,Eddy,Diaz,Eddy
1235,Ezequiel Duran,677649,677649,23733,11370,*04nqx*,TEX,1B/SS/ 3B/OF,1B/SS/ 3B/OF,Duran,Ezequiel,Duran,Ezequiel
1236,Luis Garcia,677651,677651,23735,11003,*04ni3*,HOU,SP,SP,Garcia,Luis,Garcia,Luis
1237,Wilyer Abreu,677800,677800,23772,11709,*060×1*,BOS,OF,OF,Abreu,Wilyer,Abreu,Wilyer
1238,Leo Jimenez,677870,677870,23782,11354,,TOR,2B/SS,2B/SS,Jimenez,Leo,Jiménez,Leo
1239,Jordyn Adams,677941,677941,23788,10252,*04pkp*,LAA,OF,OF,Adams,Jordyn,Adams,Jordyn
1240,Blaze Alexander,677942,677942,23789,10142,*04pvs*,ARI,2B/SS,2B/SS,Alexander,Blaze,Alexander,Blaze
1241,Will Banfield,677943,677943,sa3007973,10830,*04n1p*,MIA,C,C,Banfield,Will,Banfield,Will
1242,Slade Cecconi,677944,677944,27500,11836,*04tk1*,ARI,SP,SP,Cecconi,Slade,Cecconi,Slade
1243,Alek Thomas,677950,677950,23792,10126,*04pmw*,ARI,OF,OF,Thomas,Alek,Thomas,Alek
1244,Bobby Witt Jr.,677951,677951,25764,10932,*04lgp*,KC,SS,SS,Witt Jr.,Bobby,Witt Jr.,Bobby
1245,Jordan Groshans,677954,677954,23794,10250,*04n8x*,OAK,3B,3B,Groshans,Jordan,Groshans,Jordan
1246,Rece Hinds,677956,677956,27493,11113,*04nb4*,CIN,SS/OF,SS/OF,Hinds,Rece,Hinds,Rece
1247,Kumar Rocker,677958,677958,31843,12183,*04azu*,TEX,SP,SP,Rocker,Kumar,Rocker,Kumar
1248,Ryan Weathers,677960,677960,23796,10325,*04mnw*,MIA,SP,SP,Weathers,Ryan,Weathers,Ryan
1249,Cole Wilcox,677961,677961,sa3014443,11097,*04n0o*,TB,SP,SP,Wilcox,Cole,Wilcox,Cole
1250,Randy Dobnak,677976,677976,23798,10667,*0506h*,MIN,RP,RP,Dobnak,Randy,Dobnak,Randy
1251,Parker Meadows,678009,678009,23800,10307,*04pmn*,DET,OF,OF,Meadows,Parker,Meadows,Parker
1252,Nick Schnell,678010,678010,sa3007639,10300,*04pm9*,TB,OF,OF,Schnell,Nick,Schnell,Nick
1253,Anthony Seigler,678011,678011,sa3006894,10136,*04pkq*,NYY,C,C,Seigler,Anthony,Seigler,Anthony
1254,Mike Vasil,678024,678024,sa3017915,11904,*04ok0*,NYM,SP,SP,Vasil,Mike,Vasil,Mike
1255,Ray Kerr,678061,678061,23809,11334,*05r9n*,ATL,RP,RP,Kerr,Ray,Kerr,Ray
1256,Ji Hwan Bae,678225,678225,23818,10013,,PIT,2B/OF,2B/OF,Bae,Ji Hwan,Bae,Ji Hwan
1257,Daysbel Hernandez,678226,678226,20271,11832,*051z5*,ATL,RP,RP,Hernandez,Daysbel,Hernández,Daysbel
1258,Miguel Vargas,678246,678246,20178,10417,*04ru7*,CHW,2B/3B/ OF,2B/3B/ OF,Vargas,Miguel,Vargas,Miguel
1259,Valente Bellozo,678368,678368,23899,12117,*052c7*,MIA,SP,SP,Bellozo,Valente,Bellozo,Valente
1260,Jorbit Vivas,678391,678391,sa3005511,11398,*05a1t*,NYY,2B,2B,Vivas,Jorbit,Vivas,Jorbit
1261,Brayan Bello,678394,678394,23920,11362,*04t40*,BOS,SP,SP,Bello,Brayan,Bello,Brayan
1262,Jorge Barrosa,678489,678489,23968,11665,*04mrb*,ARI,OF,OF,Barrosa,Jorge,Barrosa,Jorge
1263,Osleivis Basabe,678545,678545,23985,11691,*04ni5*,TB,SS,SS,Basabe,Osleivis,Basabe,Osleivis
1264,Curtis Mead,678554,678554,23986,11606,*05ahe*,TB,2B/3B,2B/3B,Mead,Curtis,Mead,Curtis
1265,Jose A. Ferrer,678606,678606,24017,11662,,WSH,RP,RP,Ferrer,Jose A.,Ferrer,Jose A.
1266,Ezequiel Tovar,678662,678662,24064,11346,*04mra*,COL,SS,SS,Tovar,Ezequiel,Tovar,Ezequiel
1267,Luis Toribio,678681,678681,sa3005541,11103,*04qg4*,SF,3B,3B,Toribio,Luis,Toribio,Luis
1268,Ronny Henriquez,678692,678692,24094,11371,*04tzu*,MIN,RP,RP,Henriquez,Ronny,Henriquez,Ronny
1269,Jhonkensy Noel,678877,678877,24257,11382,*04yrs*,CLE,1B/OF,1B/OF,Noel,Jhonkensy,Noel,Jhonkensy
1270,Ceddanne Rafaela,678882,678882,24262,11628,*05gsi*,BOS,SS/OF,SS/OF,Rafaela,Ceddanne,Rafaela,Ceddanne
1271,Liover Peguero,678894,678894,24273,11096,*04ol2*,PIT,2B/SS,2B/SS,Peguero,Liover,Peguero,Liover
1272,Kai-Wei Teng,678906,678906,24282,11988,*04zay*,SF,SP,SP,Teng,Kai-Wei,Teng,Kai-Wei
1273,Johan Rojas,679032,679032,24336,11643,*04w4e*,PHI,OF,OF,Rojas,Johan,Rojas,Johan
1274,Edgar Navarro,679346,679346,24363,11835,*06avu*,CHW,RP,RP,Navarro,Edgar,Navarro,Edgar
1275,Alec Marsh,679525,679525,27451,11144,*0512c*,KC,SP,SP,Marsh,Alec,Marsh,Alec
1276,Spencer Torkelson,679529,679529,27465,10831,*04yk2*,DET,1B,1B,Torkelson,Spencer,Torkelson,Spencer
1277,Jose Rodriguez,679563,679563,24388,11659,*05gcy*,PHI,2B,2B,Rodriguez,Jose,Rodríguez,José
1278,Terrin Vavra,679631,679631,24400,10429,*04xon*,BAL,DH,OF,Vavra,Terrin,Vavra,Terrin
1279,Justin Foscue,679822,679822,27501,11770,*05gsg*,TEX,2B,2B,Foscue,Justin,Foscue,Justin
1280,Nick Loftin,679845,679845,27630,11612,*05gx0*,KC,1B/2B,1B/2B,Loftin,Nick,Loftin,Nick
1281,J.P. Martinez,679881,679881,24451,10012,,ATL,OF,OF,Martinez,J.P.,Martínez,J.P.
1282,Justin Martinez,679885,679885,24453,11666,*05acp*,ARI,RP,RP,Martinez,Justin,Martinez,Justin
1283,Dairon Blanco,680118,680118,19779,11474,*04mkt*,KC,OF,OF,Blanco,Dairon,Blanco,Dairon
1284,Jackson Wolf,680232,680232,29832,11831,*05xpr*,SD,SP,SP,Wolf,Jackson,Wolf,Jackson
1285,Tyler Cropley,680418,680418,24485,11862,*04pti*,KC,C,C,Cropley,Tyler,Cropley,Tyler
1286,Max Schuemann,680474,680474,24488,11427,*04q24*,OAK,SS/3B,SS/3B,Schuemann,Max,Schuemann,Max
1287,Travis Swaggerty,680552,680552,24491,10348,*04mn3*,LAD,OF,OF,Swaggerty,Travis,Swaggerty,Travis
1288,Grayson Rodriguez,680570,680570,24492,10207,*04pko*,BAL,SP,SP,Rodriguez,Grayson,Rodriguez,Grayson
1289,Adam Kloffenstein,680572,680572,24493,10120,*04ppt*,STL,RP,RP,Kloffenstein,Adam,Kloffenstein,Adam
1290,Simeon Woods Richardson,680573,680573,24494,10335,,MIN,SP,SP,Woods Richardson,Simeon,Woods Richardson,Simeon
1291,Matt McLain,680574,680574,29695,11613,*04pks*,CIN,2B/SS,2B/SS,McLain,Matt,McLain,Matt
1292,DaShawn Keirsey Jr.,680577,680577,24496,10388,,MIN,OF,OF,Keirsey Jr.,DaShawn,Keirsey Jr.,DaShawn
1293,Julio Rodriguez,680588,680588,sa3007992,10881,,SF,RP,RP,Rodriguez,Julio,,
1294,Jameson Hannah,680683,680683,sa3007046,10227,*04pmh*,COL,OF,OF,Hannah,Jameson,Hannah,Jameson
1295,Josiah Gray,680686,680686,24580,10259,*04pn3*,WSH,SP,SP,Gray,Josiah,Gray,Josiah
1296,Lyon Richardson,680689,680689,24581,11143,*04pmo*,CIN,RP,RP,Richardson,Lyon,Richardson,Lyon
1297,Jonathan Stiever,680692,680692,24584,10904,*04pqt*,CHW,SP,SP,Stiever,Jonathan,Stiever,Jonathan
1298,Grant Lavigne,680693,680693,sa3007743,10206,*04pmf*,COL,1B,1B,Lavigne,Grant,Lavigne,Grant
1299,Kyle Bradish,680694,680694,24586,11099,*04pq4*,BAL,SP,SP,Bradish,Kyle,Bradish,Kyle
1300,Brennen Davis,680695,680695,sa3007876,10380,*04pmv*,CHC,OF,OF,Davis,Brennen,Davis,Brennen
1301,Richie Palacios,680700,680700,24589,10425,*04ppk*,TB,2B/OF,2B/OF,Palacios,Richie,Palacios,Richie
1302,Joey Gerber,680702,680702,24591,10827,*04pta*,NYY,RP,RP,Gerber,Joey,Gerber,Joey
1303,Nick Sandlin,680704,680704,20517,10930,*04pmm*,CLE,RP,RP,Sandlin,Nick,Sandlin,Nick
1304,Cole Roederer,680711,680711,sa3008184,10386,*04pn0*,CHC,OF,OF,Roederer,Cole,Roederer,Cole
1305,Jonathan Ornelas,680716,680716,24597,10249,*04tjk*,TEX,SS,SS,Ornelas,Jonathan,Ornelas,Jonathan
1306,Addison Barger,680718,680718,24598,11596,*04qii*,TOR,3B/OF,3B/OF,Barger,Addison,Barger,Addison
1307,Drew Rom,680723,680723,24602,11706,*04pqd*,STL,SP,SP,Rom,Drew,Rom,Drew
1308,Adrian Del Castillo,680728,680728,29554,12144,*05jn0*,ARI,C,C,Del Castillo,Adrian,Del Castillo,Adrian
1309,Mitchell Parker,680730,680730,27636,11970,*05jqy*,WSH,SP,SP,Parker,Mitchell,Parker,Mitchell
1310,Sean Burke,680732,680732,29878,11755,*05xod*,CHW,SP,SP,Burke,Sean,Burke,Sean
1311,Justin Wrobleski,680736,680736,31204,12124,*05y9r*,LAD,SP,SP,Wrobleski,Justin,Wrobleski,Justin
1312,Michael Helman,680737,680737,24605,10608,*04pvp*,MIN,2B,2B,Helman,Michael,Helman,Michael
1313,Josh Winder,680739,680739,24606,11312,*04psd*,MIN,RP,RP,Winder,Josh,Winder,Josh
1314,Jonathan Bowlan,680742,680742,24607,11388,*04pmg*,KC,SP,SP,Bowlan,Jonathan,Bowlan,Jonathan
1315,Ty Madden,680744,680744,30140,11918,*05oqe*,DET,SP,SP,Madden,Ty,Madden,Ty
1316,Steven Kwan,680757,680757,24610,11315,*04pr1*,CLE,OF,OF,Kwan,Steven,Kwan,Steven
1317,Victor Vodnik,680767,680767,24614,11861,*04pxp*,COL,RP,RP,Vodnik,Victor,Vodnik,Victor
1318,CJ Alexander,680769,680769,20557,10385,*04q23*,OAK,3B,3B,Alexander,CJ,Alexander,CJ
1319,Jarren Duran,680776,680776,24617,10824,*04pst*,BOS,OF,OF,Duran,Jarren,Duran,Jarren
1320,Ryan Jeffers,680777,680777,24618,10946,*04pmu*,MIN,C,C,Jeffers,Ryan,Jeffers,Ryan
1321,Henry Davis,680779,680779,29617,11742,*05oxc*,PIT,C/OF,C/OF,Davis,Henry,Davis,Henry
1322,Peyton Burdick,680814,680814,25459,11527,*0512l*,CIN,OF,OF,Burdick,Peyton,Burdick,Peyton
1323,Ryan Fitzgerald,680837,680837,sa3006218,11436,,KC,SS,SS,Fitzgerald,Ryan,Fitzgerald,Ryan
1324,Willie MacIver,680862,680862,sa3007828,11078,*04ptr*,COL,C,C,MacIver,Willie,MacIver,Willie
1325,Zack Gelof,680869,680869,29766,11624,*05ub0*,OAK,2B,2B,Gelof,Zack,Gelof,Zack
1326,Spencer Schwellenbach,680885,680885,31846,12096,*05tq1*,ATL,SP,SP,Schwellenbach,Spencer,Schwellenbach,Spencer
1327,Nick Nastrini,680897,680897,29833,11900,*05wbp*,CHW,SP,SP,Nastrini,Nick,Nastrini,Nick
1328,Owen Miller,680911,680911,24655,10423,*04ppl*,COL,1B/2B/ 3B,1B/2B/ 3B/OF,Miller,Owen,Miller,Owen
1329,Franco Aleman,680916,680916,sa3018178,12032,*05y5l*,CLE,SP,SP,Aleman,Franco,Aleman,Franco
1330,Cody Wilson,680963,680963,24671,11206,*04pxa*,WSH,OF,OF,Wilson,Cody,Wilson,Cody
1331,Brendan Donovan,680977,680977,24679,11357,*04pse*,STL,2B/OF,1B/2B/ OF,Donovan,Brendan,Donovan,Brendan
1332,Kelvin Caceres,680983,680983,24681,11879,*06144*,LAA,RP,RP,Caceres,Kelvin,Caceres,Kelvin
1333,Christian Scott,681035,681035,30107,11912,*05xpq*,NYM,SP,SP,Scott,Christian,Scott,Christian
1334,Bryson Stott,681082,681082,26294,11086,*04p10*,PHI,2B/SS,2B/SS,Stott,Bryson,Stott,Bryson
1335,Jonah Bride,681146,681146,24703,11339,*04q5b*,MIA,1B/3B,1B/3B,Bride,Jonah,Bride,Jonah
1336,Jayden Murray,681151,681151,sa1170405,11758,*051i0*,HOU,SP,SP,Murray,Jayden,Murray,Jayden
1337,Randy Vasquez,681190,681190,24719,11677,*05itb*,SD,SP,SP,Vasquez,Randy,Vásquez,Randy
1338,Chase Silseth,681217,681217,30074,11468,*05xsm*,LAA,SP,SP,Silseth,Chase,Silseth,Chase
1339,Spencer Arrighetti,681293,681293,29921,12020,*05y0j*,HOU,SP,SP,Arrighetti,Spencer,Arrighetti,Spencer
1340,Colton Cowser,681297,681297,29591,11609,*05ras*,BAL,OF,OF,Cowser,Colton,Cowser,Colton
1341,Mike Burrows,681347,681347,24728,11619,,PIT,SP,SP,Burrows,Mike,Burrows,Mike
1342,Logan O’Hoppe,681351,681351,24729,11075,*04q56*,LAA,C,C,O’Hoppe,Logan,O’Hoppe,Logan
1343,Connor Norby,681393,681393,29592,11603,*05tce*,MIA,2B/3B,2B/3B,Norby,Connor,Norby,Connor
1344,Josh Green,681401,681401,sa3006701,11029,*04py0*,ARI,SP,SP,Green,Josh,Green,Josh
1345,Gus Varland,681402,681402,24737,11731,*04pxq*,CHW,RP,RP,Varland,Gus,Varland,Gus
1346,Luke Little,681432,681432,28036,11858,*05koh*,CHC,RP,RP,Little,Luke,Little,Luke
1347,Brooks Baldwin,681460,681460,31394,12128,*062z3*,CHW,2B,2B,Baldwin,Brooks,Baldwin,Brooks
1348,Kerry Carpenter,681481,681481,25961,11530,*051em*,DET,OF,OF,Carpenter,Kerry,Carpenter,Kerry
1349,Kyle Leahy,681517,681517,24763,11822,*04q08*,STL,RP,RP,Leahy,Kyle,Leahy,Kyle
1350,Antoine Kelly,681520,681520,sa3011135,10991,*04px1*,COL,SP,SP,Kelly,Antoine,Kelly,Antoine
1351,Bryan Lavastida,681526,681526,24765,11329,*04pyv*,CLE,C,C,Lavastida,Bryan,Lavastida,Bryan
1352,James Outman,681546,681546,24770,11399,*04psu*,LAD,OF,OF,Outman,James,Outman,James
1353,David Villar,681584,681584,24782,11510,*04pvh*,SF,2B,2B/3B,Villar,David,Villar,David
1354,Andy Pages,681624,681624,24816,11682,*04ru5*,LAD,OF,OF,Pages,Andy,Pages,Andy
1355,Ethan Roberts,681799,681799,24930,11361,*04pql*,CHC,RP,RP,Roberts,Ethan,Roberts,Ethan
1356,Andrew Wantz,681806,681806,24933,11233,*04psq*,LAA,RP,RP,Wantz,Andrew,Wantz,Andrew
1357,David Fry,681807,681807,24934,11789,*04psr*,CLE,C/1B/ OF,C/1B/ OF,Fry,David,Fry,David
1358,Chris Vallimont,681808,681808,24935,11365,,LAD,RP,RP,Vallimont,Chris,Vallimont,Chris
1359,Austin Warren,681810,681810,24937,11246,*04prz*,SF,RP,RP,Warren,Austin,Warren,Austin
1360,Reese Olson,681857,681857,24968,11594,*04px8*,DET,SP,SP,Olson,Reese,Olson,Reese
1361,Cooper Criswell,681867,681867,24975,11270,*04px6*,BOS,SP,SP,Criswell,Cooper,Criswell,Cooper
1362,Shawn Dubin,681869,681869,24977,11002,*04pxb*,HOU,SP,SP,Dubin,Shawn,Dubin,Shawn
1363,Colin Selby,681882,681882,24986,11669,*04q7i*,BAL,RP,RP,Selby,Colin,Selby,Colin
1364,Evan Lee,681885,681885,24988,11338,*04pyc*,WSH,RP,RP,Lee,Evan,Lee,Evan
1365,Kody Funderburk,681892,681892,24993,11850,*04pyp*,MIN,RP,RP,Funderburk,Kody,Funderburk,Kody
1366,Alex Vesia,681911,681911,25007,10784,*04q05*,LAD,RP,RP,Vesia,Alex,Vesia,Alex
1367,Vinny Capra,681962,681962,25040,11460,*04q26*,MIL,SS,SS,Capra,Vinny,Capra,Vinny
1368,Grant Anderson,681982,681982,20546,11799,*04q3y*,TEX,RP,RP,Anderson,Grant,Anderson,Grant
1369,Nate Eaton,681987,681987,25055,11515,,KC,OF,OF,Eaton,Nate,Eaton,Nate
1370,Lane Ramsey,682010,682010,25071,11839,*04q57*,CHW,RP,RP,Ramsey,Lane,Ramsey,Lane
1371,William Woods,682016,682016,25075,11337,*04q5a*,NYM,SP,SP,Woods,William,Woods,William
1372,Garrett Hill,682051,682051,25097,11507,,DET,RP,RP,Hill,Garrett,Hill,Garrett
1373,Jacob Lopez,682052,682052,25098,11841,*051ui*,TB,RP,RP,Lopez,Jacob,Lopez,Jacob
1374,David Hensley,682073,682073,25111,11542,*04vnd*,MIA,DH,2B,Hensley,David,Hensley,David
1375,Levi Jordan,682119,682119,25138,12114,,CIN,2B,2B,Jordan,Levi,Jordan,Levi
1376,Tim Herrin,682120,682120,25139,11676,*061jc*,CLE,RP,RP,Herrin,Tim,Herrin,Tim
1377,Evan Reifert,682126,682126,sa3014860,11630,*05y0r*,TB,RP,RP,Reifert,Evan,Reifert,Evan
1378,Jack Patterson,682163,682163,sa3007860,10918,*052ck*,CHC,RP,RP,Patterson,Jack,Patterson,Jack
1379,Penn Murfee,682171,682171,25174,11139,*05a07*,CHW,RP,RP,Murfee,Penn,Murfee,Penn
1380,Daniel Schneemann,682177,682177,25180,12098,*06bs4*,CLE,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Schneemann,Daniel,Schneemann,Daniel
1381,Kody Hoese,682210,682210,sa3010021,11050,*04zjm*,LAD,3B,3B,Hoese,Kody,Hoese,Kody
1382,Brandon Williamson,682227,682227,25463,10877,*05120*,CIN,SP,SP,Williamson,Brandon,Williamson,Brandon
1383,Bryce Miller,682243,682243,29837,11636,*05vy6*,SEA,SP,SP,Miller,Bryce,Miller,Bryce
1384,Mason Montgomery,682254,682254,29770,11621,*05y2k*,TB,SP,SP,Montgomery,Mason,Montgomery,Mason
1385,Jackson Rees,682448,682448,sa3007818,10713,*04y7y*,TOR,RP,RP,Rees,Jackson,Rees,Jackson
1386,Logan Porter,682515,682515,20626,11865,*05j94*,NYM,C,C,Porter,Logan,Porter,Logan
1387,Roddery Munoz,682610,682610,25311,11646,*05ss9*,STL,SP,SP,Munoz,Roddery,Muñoz,Roddery
1388,Diego Cartaya,682616,682616,sa3008742,10389,*04p0h*,LAD,C,C,Cartaya,Diego,Cartaya,Diego
1389,Marco Luciano,682617,682617,25616,10415,*04ooy*,SF,SS,SS,Luciano,Marco,Luciano,Marco
1390,Misael Urbina,682618,682618,sa3008743,10418,*04qou*,MIN,OF,OF,Urbina,Misael,Urbina,Misael
1391,Orelvis Martinez,682619,682619,25967,10420,*04mms*,TOR,SS,SS,Martinez,Orelvis,Martinez,Orelvis
1392,Richard Gallardo,682620,682620,sa3009990,10424,*04qnb*,CHC,SP,SP,Gallardo,Richard,Gallardo,Richard
1393,Gabriel Rodriguez,682621,682621,sa3008744,10396,*04qov*,CLE,SS,SS,Rodriguez,Gabriel,Rodriguez,Gabriel
1394,Noelvi Marte,682622,682622,26517,10419,*04qnd*,CIN,3B,3B,Marte,Noelvi,Marte,Noelvi
1395,Francisco Alvarez,682626,682626,26121,11118,*04qnc*,NYM,C,C,Alvarez,Francisco,Alvarez,Francisco
1396,Alvin Guzman,682630,682630,sa3008748,10376,*04rhh*,ARI,OF,OF,Guzman,Alvin,Guzman,Alvin
1397,Kevin Alcantara,682634,682634,25971,10406,*04qow*,CHC,OF,OF,Alcantara,Kevin,Alcántara,Kevin
1398,Osiel Rodriguez,682640,682640,sa3009991,10421,*04mkm*,NYY,RP,RP,Rodriguez,Osiel,Rodriguez,Osiel
1399,Luis Matos,682641,682641,26467,11678,*04y11*,SF,OF,OF,Matos,Luis,Matos,Luis
1400,Alexander Ramirez,682643,682643,sa3008757,10130,*04yd0*,LAA,OF,OF,Ramirez,Alexander,Ramirez,Alexander
1401,Jairo Pomares,682646,682646,sa3010023,10399,*04ru8*,SF,OF,OF,Pomares,Jairo,Pomares,Jairo
1402,Malcom Nunez,682650,682650,sa3008113,10413,*04rzr*,PIT,1B,1B,Nunez,Malcom,Nunez,Malcom
1403,Angel Martinez,682657,682657,26540,11675,*04ydd*,CLE,SS/OF,2B/SS/ 3B/OF,Martinez,Angel,Martínez,Angel
1404,Luisangel Acuna,682668,682668,26548,11614,*04z6k*,NYM,SS,SS,Acuna,Luisangel,Acuña,Luisangel
1405,Jonatan Clase,682729,682729,26599,11656,*057zc*,TOR,OF,OF,Clase,Jonatan,Clase,Jonatan
1406,Wikelman Gonzalez,682790,682790,sa3008687,11953,*052ht*,BOS,SP,SP,Gonzalez,Wikelman,Gonzalez,Wikelman
1407,Elly De La Cruz,682829,682829,26668,11583,*05udp*,CIN,SS/3B,SS/3B,De La Cruz,Elly,De La Cruz,Elly
1408,Abner Uribe,682842,682842,25327,11664,*05nso*,MIL,RP,RP,Uribe,Abner,Uribe,Abner
1409,Luis L. Ortiz,682847,682847,27646,11572,,PIT,SP,SP,Ortiz,Luis L.,Ortiz,Luis L.
1410,Endy Rodriguez,682848,682848,25332,11584,*0529l*,PIT,C,C,Rodriguez,Endy,Rodríguez,Endy
1411,Bryan Ramos,682868,682868,25621,11658,*059bs*,CHW,3B,3B,Ramos,Bryan,Ramos,Bryan
1412,Juan Brito,682877,682877,sa3009808,11773,*05yhe*,CLE,2B,2B,Brito,Juan,Brito,Juan
1413,CJ Abrams,682928,682928,25768,11045,*04qk8*,WSH,SS,SS,Abrams,CJ,Abrams,CJ
1414,Devin Sweet,682967,682967,25348,11828,*059ed*,PHI,RP,RP,Sweet,Devin,Sweet,Devin
1415,Daniel Espino,682982,682982,sa3011495,10926,*04ya2*,CLE,SP,SP,Espino,Daniel,Espino,Daniel
1416,Riley Greene,682985,682985,25976,10822,*04nb2*,DET,OF,OF,Greene,Riley,Greene,Riley
1417,Spencer Jones,682987,682987,sa3019969,12047,*04yi8*,NYY,OF,OF,Jones,Spencer,Jones,Spencer
1418,Tyler Locklear,682988,682988,31396,12049,*05xu8*,SEA,1B,1B,Locklear,Tyler,Locklear,Tyler
1419,Victor Mederos,682989,682989,31533,11819,*05jrb*,LAA,SP,SP,Mederos,Victor,Mederos,Victor
1420,Quinn Priester,682990,682990,25977,11131,*050vn*,BOS,SP,SP,Priester,Quinn,Priester,Quinn
1421,Tyler Callihan,682997,682997,sa1169610,11142,*04y9i*,CIN,2B,2B,Callihan,Tyler,Callihan,Tyler
1422,Corbin Carroll,682998,682998,25878,11025,*04y4e*,ARI,OF,OF,Carroll,Corbin,Carroll,Corbin
1423,Gunnar Henderson,683002,683002,26289,11108,*050w9*,BAL,SS/3B,SS/3B,Henderson,Gunnar,Henderson,Gunnar
1424,Jared Jones,683003,683003,27863,11893,*05h2u*,PIT,SP,SP,Jones,Jared,Jones,Jared
1425,Jack Leiter,683004,683004,30146,11327,*04y9o*,TEX,SP,SP,Leiter,Jack,Leiter,Jack
